Elapsed time (s), Dev1/ai3, Dev1/ai0, Dev1/ai17, Dev1/ai18, Dev1/ai19, Dev1/ai20, Dev1/ai21, Dev1/ai6, Dev1/ai7
0.0, -0.00017867949, 0.00078729243, 0.00046530177, 0.00014331115, 9.740251, 0.089012735, -0.019176127, 0.071947224, -0.02110807
0.001, -0.0005006701, 0.00014331115, 0.00046530177, 0.00014331115, 9.740894, 0.08869074, -0.019498117, 0.072269216, -0.021430062
0.002, -0.00082266075, -0.00017867949, 0.00014331115, -0.00017867949, 9.740572, 0.08933473, -0.019176127, 0.071947224, -0.02110807
0.003, 0.00014331115, 0.00014331115, -0.0005006701, -0.00017867949, 9.7392845, 0.08965671, -0.019820109, 0.072269216, -0.02110807
0.004, 0.00014331115, -0.00017867949, -0.00017867949, -0.0005006701, 9.741217, 0.089012735, -0.019498117, 0.072269216, -0.021430062
0.005, -0.00017867949, 0.00014331115, 0.00014331115, -0.00017867949, 9.740894, 0.089012735, -0.019820109, 0.07259121, -0.02110807
0.006, 0.00014331115, 0.00046530177, 0.00046530177, 0.00046530177, 9.741217, 0.08933473, -0.019176127, 0.072269216, -0.021430062
0.007, 0.00014331115, 0.00014331115, 0.00046530177, 0.00014331115, 9.739607, 0.08933473, -0.019820109, 0.07259121, -0.021430062
0.008, -0.00017867949, 0.00014331115, 0.00078729243, -0.00017867949, 9.740251, 0.08933473, -0.019498117, 0.07259121, -0.02110807
0.009000000000000001, 0.00014331115, 0.00046530177, 0.00014331115, -0.00017867949, 9.740572, 0.089012735, -0.019498117, 0.0729132, -0.020464089
0.01, -0.00017867949, 0.00014331115, 0.00046530177, 0.00014331115, 9.739928, 0.089012735, -0.019498117, 0.0729132, -0.02078608
0.011, -0.0005006701, -0.00017867949, -0.00017867949, 0.00014331115, 9.741217, 0.08869074, -0.019820109, 0.07259121, -0.021430062
0.012, 0.00014331115, 0.00046530177, 0.00014331115, -0.00017867949, 9.7392845, 0.08933473, -0.019820109, 0.072269216, -0.02110807
0.013000000000000001, 0.00078729243, 0.00046530177, 0.00014331115, -0.00017867949, 9.739928, 0.08933473, -0.019176127, 0.072269216, -0.02078608
0.014, -0.001466642, 0.00014331115, -0.00017867949, -0.0005006701, 9.740894, 0.08965671, -0.019820109, 0.07259121, -0.02110807
0.015, 0.00014331115, 0.00046530177, 0.00014331115, 0.00078729243, 9.74186, 0.08933473, -0.019498117, 0.0729132, -0.02078608
0.016, 0.00014331115, 0.00046530177, -0.0005006701, -0.00017867949, 9.740572, 0.08965671, -0.019820109, 0.07259121, -0.02078608
0.017, -0.0005006701, 0.00046530177, 0.00014331115, -0.00017867949, 9.740251, 0.08965671, -0.019498117, 0.072269216, -0.021430062
0.018000000000000002, -0.00017867949, 0.00014331115, -0.00017867949, 0.00014331115, 9.74186, 0.08933473, -0.019820109, 0.07162523, -0.02110807
0.019, 0.00014331115, 0.00046530177, 0.00014331115, 0.00014331115, 9.740572, 0.08933473, -0.019820109, 0.07130325, -0.021752052
0.02, 0.00046530177, 0.00046530177, -0.0005006701, 0.00046530177, 9.740251, 0.08965671, -0.019498117, 0.072269216, -0.021430062
0.021, -0.00017867949, -0.00017867949, 0.00046530177, 0.00014331115, 9.740572, 0.0899787, -0.020142099, 0.072269216, -0.021430062
0.022, -0.00017867949, 0.00014331115, 0.00046530177, 0.00014331115, 9.74186, 0.08933473, -0.019176127, 0.07162523, -0.021430062
0.023, -0.00017867949, 0.00014331115, 0.00046530177, 0.00014331115, 9.739607, 0.08933473, -0.019820109, 0.07259121, -0.02110807
0.024, -0.00017867949, 0.00014331115, -0.00017867949, -0.00017867949, 9.740572, 0.089012735, -0.019820109, 0.0729132, -0.020464089
0.025, -0.00017867949, 0.00046530177, 0.00014331115, -0.0005006701, 9.740894, 0.08933473, -0.019176127, 0.07259121, -0.021430062
0.026000000000000002, -0.00017867949, -0.0005006701, -0.00017867949, 0.00014331115, 9.741217, 0.0899787, -0.019498117, 0.07259121, -0.021430062
0.027, -0.0005006701, 0.00014331115, 0.00014331115, 0.00014331115, 9.740251, 0.08933473, -0.019498117, 0.071947224, -0.021752052
0.028, 0.00014331115, -0.00017867949, -0.00017867949, -0.00082266075, 9.740894, 0.08933473, -0.019498117, 0.0729132, -0.02110807
0.029, -0.00017867949, -0.00017867949, -0.0005006701, 0.00014331115, 9.74186, 0.0899787, -0.020142099, 0.0729132, -0.02078608
0.03, 0.00014331115, 0.00046530177, 0.00014331115, 0.00014331115, 9.739607, 0.08965671, -0.019498117, 0.072269216, -0.021752052
0.031, -0.00017867949, 0.00014331115, -0.00017867949, 0.00014331115, 9.740894, 0.08933473, -0.019176127, 0.072269216, -0.02110807
0.032, -0.0005006701, 0.00014331115, 0.00014331115, -0.00017867949, 9.740572, 0.089012735, -0.019820109, 0.0729132, -0.021430062
0.033, 0.00014331115, 0.00014331115, -0.00017867949, -0.00017867949, 9.740572, 0.08933473, -0.020142099, 0.071947224, -0.02078608
0.034, -0.00017867949, -0.00017867949, 0.00046530177, 0.00014331115, 9.740251, 0.08836875, -0.019176127, 0.072269216, -0.021752052
0.035, -0.0005006701, 0.00046530177, 0.00078729243, 0.00046530177, 9.739607, 0.08965671, -0.019498117, 0.072269216, -0.021430062
0.036000000000000004, -0.00017867949, 0.00014331115, 0.00014331115, 0.00046530177, 9.741217, 0.08933473, -0.019820109, 0.071947224, -0.02110807
0.037, -0.00017867949, -0.00017867949, 0.00046530177, -0.0005006701, 9.740894, 0.08933473, -0.019820109, 0.07259121, -0.02110807
0.038, -0.00017867949, 0.00046530177, 0.00014331115, -0.0005006701, 9.740251, 0.08869074, -0.019820109, 0.072269216, -0.02078608
0.039, 0.00014331115, 0.00046530177, -0.00017867949, -0.0005006701, 9.740572, 0.08933473, -0.019820109, 0.072269216, -0.02110807
